2009-02,0.12
2009-03,0.11
2009-04,0.1
2009-05,0.1
2009-06,0.09
2009-07,0.09
2009-08,0.09
2009-09,0.08
2009-10,0.08
2009-11,0.08
2009-12,0.07
2010-01,0.06
2010-02,0.06
2010-03,0.06
2010-04,0.05
2010-05,0.06
2010-06,0.06
2010-07,0.05
2010-08,0.05
2010-09,0.05
2010-10,0.04
2010-11,0.03
2010-12,0.03
2011-01,0.02
2011-02,0.01
2011-03,0.01
2011-04,0.01
2011-05,0.01
2011-06,0.02
2011-07,0.03
2011-08,0.04
2011-09,0.04
2011-10,0.05
2011-11,0.06
2011-12,0.07
2012-01,0.07
2012-02,0.08
2012-03,0.08
2012-04,0.09
2012-05,0.1
2012-06,0.1
2012-07,0.1
2012-08,0.1
2012-09,0.1
2012-10,0.11
2012-11,0.11
2012-12,0.11
2013-01,0.12
2013-02,0.12
2013-03,0.12
2013-04,0.13
2013-05,0.12
2013-06,0.13
2013-07,0.13
2013-08,0.13
2013-09,0.14
2013-10,0.14
2013-11,0.14
2013-12,0.16
2014-01,0.17
2014-02,0.19
2014-03,0.19
2014-04,0.19
2014-05,0.2
2014-06,0.19
2014-07,0.19
2014-08,0.19
2014-09,0.19
2014-10,0.19
2014-11,0.19
2014-12,0.18
2015-01,0.17
2015-02,0.17
2015-03,0.17
2015-04,0.17
2015-05,0.16
2015-06,0.16
2015-07,0.16
2015-08,0.16
2015-09,0.17
2015-10,0.16
2015-11,0.16
2015-12,0.17
2016-01,0.18
2016-02,0.17
2016-03,0.17
2016-04,0.17
2016-05,0.17
2016-06,0.18
2016-07,0.19
2016-08,0.18
2016-09,0.18
2016-10,0.19
2016-11,0.19
2016-12,0.19
2017-01,0.19
2017-02,0.2
2017-03,0.2
2017-04,0.21
2017-05,0.22
2017-06,0.22
2017-07,0.22
2017-08,0.23
2017-09,0.23
2017-10,0.23
2017-11,0.25
2017-12,0.26
2018-01,0.27
2018-02,0.3
2018-03,0.31
2018-04,0.33
2018-05,0.34
2018-06,0.36
2018-07,0.37
2018-08,0.38
2018-09,0.41
